timestamp,date,hour,is_weekend,volume,isp,forecast_volume,mfrr_ratio_neg,afrr_ratio_neg,discharge_kwh,forced_kwh,smart_kwh,total_charge_kwh,soc_kwh,cost_eur,is_smart_neg_isp,strategy
2026-01-01 04:15:00,2026-01-01,4,False,-36.69,0.0,-14.82,100.0,86.6,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 04:15:00,2026-01-01,4,False,-36.69,0.0,-14.82,100.0,86.6,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 04:15:00,2026-01-01,4,False,-36.69,0.0,-14.82,100.0,86.6,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 04:30:00,2026-01-01,4,False,31.28,28.36,-66.7,100.0,85.26,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 04:30:00,2026-01-01,4,False,31.28,28.36,-66.7,100.0,85.26,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 04:30:00,2026-01-01,4,False,31.28,28.36,-66.7,100.0,85.26,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 04:45:00,2026-01-01,4,False,7.67,28.36,34.8,100.0,83.45,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 04:45:00,2026-01-01,4,False,7.67,28.36,34.8,100.0,83.45,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 04:45:00,2026-01-01,4,False,7.67,28.36,34.8,100.0,83.45,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 05:00:00,2026-01-01,5,False,-125.93,0.0,66.26,100.0,84.05,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 05:00:00,2026-01-01,5,False,-125.93,0.0,66.26,100.0,84.05,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 05:00:00,2026-01-01,5,False,-125.93,0.0,66.26,100.0,84.05,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 05:15:00,2026-01-01,5,False,-127.85,0.0,-118.3,100.0,84.76,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 05:15:00,2026-01-01,5,False,-127.85,0.0,-118.3,100.0,84.76,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 05:15:00,2026-01-01,5,False,-127.85,0.0,-118.3,100.0,84.76,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 05:30:00,2026-01-01,5,False,-142.91,0.0,-112.6,100.0,83.96,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 05:30:00,2026-01-01,5,False,-142.91,0.0,-112.6,100.0,83.96,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 05:30:00,2026-01-01,5,False,-142.91,0.0,-112.6,100.0,83.96,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 05:45:00,2026-01-01,5,False,-170.81,0.0,-164.61,100.0,86.01,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 05:45:00,2026-01-01,5,False,-170.81,0.0,-164.61,100.0,86.01,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 05:45:00,2026-01-01,5,False,-170.81,0.0,-164.61,100.0,86.01,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
